47145: Roane, Tennessee
18043: Floyd, Indiana
22107: Tensas, Louisiana
54043: Lincoln, West Virginia
47099: Lawrence, Tennessee
45045: Greenville, South Carolina
54051: Marshall, West Virginia
13117: Forsyth, Georgia
10001: Kent, Delaware
27109: Olmsted, Minnesota
8007: Archuleta, Colorado
50023: Washington, Vermont
5091: Miller, Arkansas
37143: Perquimans, North Carolina
18113: Noble, Indiana
4005: Coconino, Arizona
5065: Izard, Arkansas
42017: Bucks, Pennsylvania
8045: Garfield, Colorado
48431: Sterling, Texas
48337: Montague, Texas
40101: Muskogee, Oklahoma
17155: Putnam, Illinois
38021: Dickey, North Dakota
13013: Barrow, Georgia
39083: Knox, Ohio
21229: Washington, Kentucky
26049: Genesee, Michigan
13221: Oglethorpe, Georgia
23013: Knox, Maine
20003: Anderson, Kansas
13271: Telfair, Georgia
54061: Monongalia, West Virginia
13287: Turner, Georgia
2201: Prince Wales Ketchikan, Alaska
12105: Polk, Florida
13057: Cherokee, Georgia
48487: Wilbarger, Texas
19073: Greene, Iowa
5137: Stone, Arkansas
17157: Randolph, Illinois
48247: Jim Hogg, Texas
24025: Harford, Maryland
34029: Ocean, New Jersey
29077: Greene, Missouri
22013: Bienville, Louisiana
13133: Greene, Georgia
42007: Beaver, Pennsylvania
22057: Lafourche, Louisiana
27163: Washington, Minnesota
18153: Sullivan, Indiana
21055: Crittenden, Kentucky
51173: Smyth, Virginia
39059: Guernsey, Ohio
48421: Sherman, Texas
40035: Craig, Oklahoma
9011: New London, Connecticut
5145: White, Arkansas
1065: Hale, Alabama
1081: Lee, Alabama
20129: Morton, Kansas
13251: Screven, Georgia
49001: Beaver, Utah
31169: Thayer, Nebraska
30023: Deer Lodge, Montana
24013: Carroll, Maryland
48053: Burnet, Texas
13005: Bacon, Georgia
5079: Lincoln, Arkansas
48505: Zapata, Texas
31185: York, Nebraska
51141: Patrick, Virginia
37049: Craven, North Carolina
46061: Hanson, South Dakota
5017: Chicot, Arkansas
30109: Wibaux, Montana
30045: Judith Basin, Montana
46111: Sanborn, South Dakota
29153: Ozark, Missouri
21103: Henry, Kentucky
28037: Franklin, Mississippi
37087: Haywood, North Carolina
12119: Sumter, Florida
51121: Montgomery, Virginia
17193: White, Illinois
8037: Eagle, Colorado
13259: Stewart, Georgia
20167: Russell, Kansas
20015: Butler, Kansas
5077: Lee, Arkansas
51117: Mecklenburg, Virginia
38033: Golden Valley, North Dakota
19055: Delaware, Iowa
26007: Alpena, Michigan
51683: Manassas City, Virginia
40033: Cotton, Oklahoma
24039: Somerset, Maryland
1119: Sumter, Alabama
27001: Aitkin, Minnesota
48075: Childress, Texas
8011: Bent, Colorado
38001: Adams, North Dakota
20029: Cloud, Kansas
31051: Dixon, Nebraska
13231: Pike, Georgia
6051: Mono, California
40065: Jackson, Oklahoma
28051: Holmes, Mississippi
26083: Keweenaw, Michigan
16009: Benewah, Idaho
11031: Montgomery, District of Columbia
47051: Franklin, Tennessee
47007: Bledsoe, Tennessee
13297: Walton, Georgia
23001: Androscoggin, Maine
12021: Collier, Florida
55123: Vernon, Wisconsin
21139: Livingston, Kentucky
48229: Hudspeth, Texas
32005: Douglas, Nevada
31067: Gage, Nebraska
22099: St Martin, Louisiana
2280: Wrangell Petersburg, Alaska
53011: Clark, Washington
13153: Houston, Georgia
51067: Franklin, Virginia
55061: Kewaunee, Wisconsin
32009: Esmeralda, Nevada
40055: Greer, Oklahoma
21233: Webster, Kentucky
28003: Alcorn, Mississippi
31027: Cedar, Nebraska
8085: Montrose, Colorado
26155: Shiawassee, Michigan
28057: Itawamba, Mississippi
34013: Essex, New Jersey
21227: Warren, Kentucky
51041: Chesterfield, Virginia
27153: Todd, Minnesota
48183: Gregg, Texas
48139: Ellis, Texas
31061: Franklin, Nebraska
13073: Columbia, Georgia
26027: Cass, Michigan
28053: Humphreys, Mississippi
55047: Green Lake, Wisconsin
29067: Douglas, Missouri
31151: Saline, Nebraska
20203: Wichita, Kansas
17133: Monroe, Illinois
31175: Valley, Nebraska
54029: Hancock, West Virginia
5125: Saline, Arkansas
55099: Price, Wisconsin
36001: Albany, New York
18097: Marion, Indiana
36011: Cayuga, New York
48327: Menard, Texas
13305: Wayne, Georgia
29177: Ray, Missouri
39101: Marion, Ohio
20111: Lyon, Kansas
19021: Buena Vista, Iowa
20183: Smith, Kansas
13021: Bibb, Georgia
48501: Yoakum, Texas
6031: Kings, California
28047: Harrison, Mississippi
40115: Ottawa, Oklahoma
51720: Norton City, Virginia
8063: Kit Carson, Colorado
46035: Davison, South Dakota
20073: Greenwood, Kansas
13277: Tift, Georgia
18167: Vigo, Indiana
27073: Lac Qui Parle, Minnesota
41049: Morrow, Oregon
13199: Meriwether, Georgia
29167: Polk, Missouri
48207: Haskell, Texas
31005: Arthur, Nebraska
35061: Valencia, New Mexico
47011: Bradley, Tennessee
5107: Phillips, Arkansas
42123: Warren, Pennsylvania
13011: Banks, Georgia
28073: Lamar, Mississippi
19071: Fremont, Iowa
36091: Saratoga, New York
30037: Golden Valley, Montana
17097: Lake, Illinois
31031: Cherry, Nebraska
30103: Treasure, Montana
37073: Gates, North Carolina
51065: Fluvanna, Virginia
38015: Burleigh, North Dakota
40015: Caddo, Oklahoma
29093: Iron, Missouri
56033: Sheridan, Wyoming
30009: Carbon, Montana
13303: Washington, Georgia
26003: Alger, Michigan
41037: Lake, Oregon
47107: McMinn, Tennessee
6021: Glenn, California
40141: Tillman, Oklahoma
27123: Ramsey, Minnesota
29043: Christian, Missouri
31179: Wayne, Nebraska
55035: Eau Claire, Wisconsin
35045: San Juan, New Mexico
5019: Clark, Arkansas
27049: Goodhue, Minnesota
39063: Hancock, Ohio
5081: Little River, Arkansas
24037: St Marys, Maryland
48227: Howard, Texas
37169: Stokes, North Carolina
18063: Hendricks, Indiana
36107: Tioga, New York
17069: Hardin, Illinois
13289: Twiggs, Georgia
55001: Adams, Wisconsin
28069: Kemper, Mississippi
41013: Crook, Oregon
46073: Jerauld, South Dakota
55093: Pierce, Wisconsin
37035: Catawba, North Carolina
54035: Jackson, West Virginia
39095: Lucas, Ohio
31043: Dakota, Nebraska
1121: Talladega, Alabama
28093: Marshall, Mississippi
48077: Clay, Texas
36007: Broome, New York
13187: Lumpkin, Georgia
31101: Keith, Nebraska
53039: Klickitat, Washington
55043: Grant, Wisconsin
20107: Linn, Kansas
27041: Douglas, Minnesota
36055: Monroe, New York
20065: Graham, Kansas
29201: Scott, Missouri
31165: Sioux, Nebraska
54105: Wirt, West Virginia
47063: Hamblen, Tennessee
47067: Hancock, Tennessee
48109: Culberson, Texas
48047: Brooks, Texas
29075: Gentry, Missouri
24031: Montgomery, Maryland
19057: Des Moines, Iowa
26149: St Joseph, Michigan
48265: Kerr, Texas
46123: Tripp, South Dakota
48403: Sabine, Texas
26037: Clinton, Michigan
48005: Angelina, Texas
1011: Bullock, Alabama
51027: Buchanan, Virginia
54025: Greenbrier, West Virginia
26123: Newaygo, Michigan
51003: Albemarle, Virginia
29007: Audrain, Missouri
38095: Towner, North Dakota
28035: Forrest, Mississippi
40003: Alfalfa, Oklahoma
13207: Monroe, Georgia
42087: Mifflin, Pennsylvania
36017: Chenango, New York
41047: Marion, Oregon
22049: Jackson, Louisiana
31011: Boone, Nebraska
42133: York, Pennsylvania
18073: Jasper, Indiana
26005: Allegan, Michigan
51011: Appomattox, Virginia
55017: Chippewa, Wisconsin
29033: Carroll, Missouri
48177: Gonzales, Texas
36045: Jefferson, New York
22043: Grant, Louisiana
51029: Buckingham, Virginia
5115: Pope, Arkansas
26097: Mackinac, Michigan
5021: Clay, Arkansas
13093: Dooly, Georgia
21165: Menifee, Kentucky
26131: Ontonagon, Michigan
38077: Richland, North Dakota
47009: Blount, Tennessee
42037: Columbia, Pennsylvania
46127: Union, South Dakota
54101: Webster, West Virginia
54085: Ritchie, West Virginia
1057: Fayette, Alabama
30043: Jefferson, Montana
1035: Conecuh, Alabama
36041: Hamilton, New York
5119: Pulaski, Arkansas
8003: Alamosa, Colorado
30073: Pondera, Montana
13019: Berrien, Georgia
46125: Turner, South Dakota
38013: Burke, North Dakota
51187: Warren, Virginia
49047: Uintah, Utah
49057: Weber, Utah
5051: Garland, Arkansas
48019: Bandera, Texas
6087: Santa Cruz, California
19035: Cherokee, Iowa
42057: Fulton, Pennsylvania
54109: Wyoming, West Virginia
41019: Douglas, Oregon
37199: Yancey, North Carolina
12087: Monroe, Florida
46083: Lincoln, South Dakota
51169: Scott, Virginia
51043: Clarke, Virginia
24510: Baltimore City, Maryland
28147: Walthall, Mississippi
22025: Catahoula, Louisiana
4023: Santa Cruz, Arizona
24003: Anne Arundel, Maryland
48347: Nacogdoches, Texas
37023: Burke, North Carolina
48281: Lampasas, Texas
27033: Cottonwood, Minnesota
51103: Lancaster, Virginia
48219: Hockley, Texas
24041: Talbot, Maryland
18183: Whitley, Indiana
30027: Fergus, Montana
20161: Riley, Kansas
21071: Floyd, Kentucky
12073: Leon, Florida
47187: Williamson, Tennessee
29171: Putnam, Missouri
8029: Delta, Colorado
29145: Newton, Missouri
31167: Stanton, Nebraska
48273: Kleberg, Texas
51145: Powhatan, Virginia
31019: Buffalo, Nebraska
18103: Miami, Indiana
20117: Marshall, Kansas
5047: Franklin, Arkansas
39143: Sandusky, Ohio
48477: Washington, Texas
28091: Marion, Mississippi
48101: Cottle, Texas
36027: Dutchess, New York
13157: Jackson, Georgia
48237: Jack, Texas
48225: Houston, Texas
26041: Delta, Michigan
48415: Scurry, Texas
51037: Charlotte, Virginia
46095: Mellette, South Dakota
48211: Hemphill, Texas
2100: Haines, Alaska
13215: Muscogee, Georgia
8049: Grand, Colorado
24009: Calvert, Maryland
37117: Martin, North Carolina
20097: Kiowa, Kansas
56009: Converse, Wyoming
31045: Dawes, Nebraska
42089: Monroe, Pennsylvania
8027: Custer, Colorado
20207: Woodson, Kansas
13101: Echols, Georgia
19065: Fayette, Iowa
22065: Madison, Louisiana
29135: Moniteau, Missouri
51057: Essex, Virginia
38105: Williams, North Dakota
55013: Burnett, Wisconsin
35007: Colfax, New Mexico
30029: Flathead, Montana
18163: Vanderburgh, Indiana
6035: Lassen, California
31095: Jefferson, Nebraska
48467: Van Zandt, Texas
13253: Seminole, Georgia
47049: Fentress, Tennessee
49055: Wayne, Utah
51163: Rockbridge, Virginia
18037: Dubois, Indiana
13039: Camden, Georgia
47059: Greene, Tennessee
42125: Washington, Pennsylvania
32021: Mineral, Nevada
53035: Kitsap, Washington
17101: Lawrence, Illinois
8061: Kiowa, Colorado
17081: Jefferson, Illinois
51167: Russell, Virginia
31015: Boyd, Nebraska
50005: Caledonia, Vermont
31093: Howard, Nebraska
17029: Coles, Illinois
45031: Darlington, South Carolina
56005: Campbell, Wyoming
29119: Mcdonald, Missouri
32011: Eureka, Nevada
42021: Cambria, Pennsylvania
42005: Armstrong, Pennsylvania
26121: Muskegon, Michigan
48097: Cooke, Texas
47021: Cheatham, Tennessee
36061: New York, New York
28109: Pearl River, Mississippi
29011: Barton, Missouri
20149: Pottawatomie, Kansas
41063: Wallowa, Oregon
51135: Nottoway, Virginia
36069: Ontario, New York
30017: Custer, Montana
21231: Wayne, Kentucky
37083: Halifax, North Carolina
53071: Walla Walla, Washington
1061: Geneva, Alabama
51061: Fauquier, Virginia
45073: Oconee, South Carolina
6053: Monterey, California
22101: St Mary, Louisiana
28161: Yalobusha, Mississippi
19159: Ringgold, Iowa
19041: Clay, Iowa
21223: Trimble, Kentucky
55087: Outagamie, Wisconsin
39163: Vinton, Ohio
39069: Henry, Ohio
18119: Owen, Indiana
13293: Upson, Georgia
31065: Furnas, Nebraska
48081: Coke, Texas
42029: Chester, Pennsylvania
55097: Portage, Wisconsin
27017: Carlton, Minnesota
36029: Erie, New York
13311: White, Georgia
55031: Douglas, Wisconsin
8075: Logan, Colorado
40021: Cherokee, Oklahoma
18081: Johnson, Indiana
13229: Pierce, Georgia
26057: Gratiot, Michigan
31137: Phelps, Nebraska
18159: Tipton, Indiana
46023: Charles Mix, South Dakota
26033: Chippewa, Michigan
12083: Marion, Florida
45077: Pickens, South Carolina
21141: Logan, Kentucky
17071: Henderson, Illinois
48397: Rockwall, Texas
51021: Bland, Virginia
30077: Powell, Montana
54087: Roane, West Virginia
31163: Sherman, Nebraska
54057: Mineral, West Virginia
20103: Leavenworth, Kansas
48137: Edwards, Texas
48013: Atascosa, Texas
38007: Billings, North Dakota
28159: Winston, Mississippi
38079: Rolette, North Dakota
19133: Monona, Iowa
21067: Fayette, Kentucky
12059: Holmes, Florida
28075: Lauderdale, Mississippi
54049: Marion, West Virginia
53003: Asotin, Washington
48147: Fannin, Texas
5147: Woodruff, Arkansas
19079: Hamilton, Iowa
30053: Lincoln, Montana
49027: Millard, Utah
13003: Atkinson, Georgia
34037: Sussex, New Jersey
2110: Juneau, Alaska
48033: Borden, Texas
16057: Latah, Idaho
18147: Spencer, Indiana
5141: Van Buren, Arkansas
18105: Monroe, Indiana
39073: Hocking, Ohio
28131: Stone, Mississippi
13131: Grady, Georgia
37167: Stanly, North Carolina
31127: Nemaha, Nebraska
37137: Pamlico, North Carolina
20083: Hodgeman, Kansas
37151: Randolph, North Carolina
19025: Calhoun, Iowa
33017: Strafford, New Hampshire
37099: Jackson, North Carolina
39043: Erie, Ohio
34011: Cumberland, New Jersey
6073: San Diego, California
29041: Chariton, Missouri
17191: Wayne, Illinois
48021: Bastrop, Texas
13169: Jones, Georgia
50027: Windsor, Vermont
27145: Stearns, Minnesota
48475: Ward, Texas
1131: Wilcox, Alabama
55085: Oneida, Wisconsin
24047: Worcester, Maryland
44005: Newport, Rhode Island
40119: Payne, Oklahoma
22125: West Feliciana, Louisiana
20047: Edwards, Kansas
45091: York, South Carolina
39007: Ashtabula, Ohio
39161: Van Wert, Ohio
48311: McMullen, Texas
13317: Wilkes, Georgia
22115: Vernon, Louisiana
20131: Nemaha, Kansas
21117: Kenton, Kentucky
17079: Jasper, Illinois
45015: Berkeley, South Carolina
26103: Marquette, Michigan
31109: Lancaster, Nebraska
51051: Dickenson, Virginia
51143: Pittsylvania, Virginia
51107: Loudoun, Virginia
8057: Jackson, Colorado
34039: Union, New Jersey
21045: Casey, Kentucky
47113: Madison, Tennessee
1113: Russell, Alabama
54015: Clay, West Virginia
19095: Iowa, Iowa
54011: Cabell, West Virginia
37187: Washington, North Carolina
39173: Wood, Ohio
46003: Aurora, South Dakota
36025: Delaware, New York
48079: Cochran, Texas
23029: Washington, Maine
13043: Candler, Georgia
20045: Douglas, Kansas
6001: Alameda, California
13145: Harris, Georgia
41027: Hood River, Oregon
48407: San Jacinto, Texas
28045: Hancock, Mississippi
31063: Frontier, Nebraska
51830: Williamsburg City, Virginia
9003: Hartford, Connecticut
2180: Nome, Alaska
16075: Payette, Idaho
40081: Lincoln, Oklahoma
54103: Wetzel, West Virginia
48257: Kaufman, Texas
46085: Lyman, South Dakota
53033: King, Washington
1017: Chambers, Alabama
39151: Stark, Ohio
31057: Dundy, Nebraska
1045: Dale, Alabama
13127: Glynn, Georgia
36065: Oneida, New York
51181: Surry, Virginia
34017: Hudson, New Jersey
46021: Campbell, South Dakota
6027: Inyo, California
5085: Lonoke, Arkansas
22041: Franklin, Louisiana
38017: Cass, North Dakota
19029: Cass, Iowa
21215: Spencer, Kentucky
47123: Monroe, Tennessee
39049: Franklin, Ohio
37153: Richmond, North Carolina
21169: Metcalfe, Kentucky
40095: Marshall, Oklahoma
19177: Van Buren, Iowa
48041: Brazos, Texas
30063: Missoula, Montana
51550: Chesapeake City, Virginia
54023: Grant, West Virginia
21111: Jefferson, Kentucky
38041: Hettinger, North Dakota
39009: Athens, Ohio
55078: Menominee, Wisconsin
42111: Somerset, Pennsylvania
37075: Graham, North Carolina
21119: Knott, Kentucky
47031: Coffee, Tennessee
28085: Lincoln, Mississippi
22113: Vermilion, Louisiana
35001: Bernalillo, New Mexico
37131: Northampton, North Carolina
37091: Hertford, North Carolina
31003: Antelope, Nebraska
51560: Clifton Forge City, Virginia
42055: Franklin, Pennsylvania
13007: Baker, Georgia
40013: Bryan, Oklahoma
42081: Lycoming, Pennsylvania
1049: De Kalb, Alabama
41029: Jackson, Oregon
45069: Marlboro, South Carolina
20195: Trego, Kansas
48461: Upton, Texas
48157: Fort Bend, Texas
19109: Kossuth, Iowa
48091: Comal, Texas
36067: Onondaga, New York
29021: Buchanan, Missouri
1127: Walker, Alabama
23025: Somerset, Maine
8081: Moffat, Colorado
21085: Grayson, Kentucky
18047: Franklin, Indiana
55089: Ozaukee, Wisconsin
17047: Edwards, Illinois
53073: Whatcom, Washington
28099: Neshoba, Mississippi
12007: Bradford, Florida
19115: Louisa, Iowa
33007: Coos, New Hampshire
55137: Waushara, Wisconsin
13211: Morgan, Georgia
12101: Pasco, Florida
46011: Brookings, South Dakota
48093: Comanche, Texas
18129: Posey, Indiana
12095: Orange, Florida
51590: Danville City, Virginia
23003: Aroostook, Maine
38067: Pembina, North Dakota
28153: Wayne, Mississippi
40031: Comanche, Oklahoma
48025: Bee, Texas
25005: Bristol, Massachusetts
6105: Trinity, California
48011: Armstrong, Texas
42069: Lackawanna, Pennsylvania
42109: Snyder, Pennsylvania
22061: Lincoln, Louisiana
6005: Amador, California
29099: Jefferson, Missouri
17135: Montgomery, Illinois
12063: Jackson, Florida
41031: Jefferson, Oregon
48469: Victoria, Texas
46099: Minnehaha, South Dakota
29003: Andrew, Missouri
35059: Union, New Mexico
42079: Luzerne, Pennsylvania
46033: Custer, South Dakota
29035: Carter, Missouri
29209: Stone, Missouri
39019: Carroll, Ohio
31077: Greeley, Nebraska
42127: Wayne, Pennsylvania
55053: Jackson, Wisconsin
13185: Lowndes, Georgia
2290: Yukon Koyukuk, Alaska
21143: Lyon, Kentucky
51047: Culpeper, Virginia
54107: Wood, West Virginia
13085: Dawson, Georgia
51081: Greensville, Virginia
8021: Conejos, Colorado
55011: Buffalo, Wisconsin
51185: Tazewell, Virginia
21153: Magoffin, Kentucky
12001: Alachua, Florida
17141: Ogle, Illinois
16071: Oneida, Idaho
45039: Fairfield, South Carolina
18139: Rush, Indiana
2050: Bethel, Alaska
37179: Union, North Carolina
6045: Mendocino, California
27115: Pine, Minnesota
48035: Bosque, Texas
27103: Nicollet, Minnesota
21201: Robertson, Kentucky
40127: Pushmataha, Oklahoma
55071: Manitowoc, Wisconsin
29065: Dent, Missouri
48401: Rusk, Texas
21179: Nelson, Kentucky
20135: Ness, Kansas
28065: Jefferson Davis, Mississippi
4015: Mohave, Arizona
46081: Lawrence, South Dakota
30067: Park, Montana
36023: Cortland, New York
13079: Crawford, Georgia
29181: Ripley, Missouri
48301: Loving, Texas
51105: Lee, Virginia
51678: Lexington City, Virginia
38031: Foster, North Dakota
55091: Pepin, Wisconsin
5063: Independence, Arkansas
27039: Dodge, Minnesota
48057: Calhoun, Texas
40067: Jefferson, Oklahoma
13245: Richmond, Georgia
13069: Coffee, Georgia
47109: McNairy, Tennessee
53061: Snohomish, Washington
48061: Cameron, Texas
53047: Okanogan, Washington
17051: Fayette, Illinois
6007: Butte, California
18127: Porter, Indiana
13223: Paulding, Georgia
34007: Camden, New Jersey
20005: Atchison, Kansas
19049: Dallas, Iowa
54013: Calhoun, West Virginia
20025: Clark, Kansas
40043: Dewey, Oklahoma
50021: Rutland, Vermont
29037: Cass, Missouri
19023: Butler, Iowa
16079: Shoshone, Idaho
20091: Johnson, Kansas
13201: Miller, Georgia
50025: Windham, Vermont
51620: Franklin City, Virginia
20099: Labette, Kansas
38037: Grant, North Dakota
1059: Franklin, Alabama
48361: Orange, Texas
26107: Mecosta, Michigan
51660: Harrisonburg City, Virginia
26017: Bay, Michigan
23031: York, Maine
48279: Lamb, Texas
6025: Imperial, California
21063: Elliott, Kentucky
18013: Brown, Indiana
18075: Jay, Indiana
48065: Carson, Texas
26009: Antrim, Michigan
21145: McCracken, Kentucky
40151: Woods, Oklahoma
45055: Kershaw, South Carolina
40039: Custer, Oklahoma
54089: Summers, West Virginia
53031: Jefferson, Washington
18143: Scott, Indiana
21087: Green, Kentucky
39051: Fulton, Ohio
22063: Livingston, Louisiana
22093: St James, Louisiana
29015: Benton, Missouri
22119: Webster, Louisiana
9007: Middlesex, Connecticut
31155: Saunders, Nebraska
46005: Beadle, South Dakota
6061: Placer, California
13173: Lanier, Georgia
28033: De Soto, Mississippi
1013: Butler, Alabama
8105: Rio Grande, Colorado
26013: Baraga, Michigan
20095: Kingman, Kansas
40131: Rogers, Oklahoma
10003: New Castle, Delaware
5025: Cleveland, Arkansas
22121: West Baton Rouge, Louisiana
18053: Grant, Indiana
13265: Taliaferro, Georgia
18031: Decatur, Indiana
8025: Crowley, Colorado
39057: Greene, Ohio
21075: Fulton, Kentucky
17143: Peoria, Illinois
38025: Dunn, North Dakota
39167: Washington, Ohio
18169: Wabash, Indiana
53059: Skamania, Washington
30013: Cascade, Montana
55049: Iowa, Wisconsin
18077: Jefferson, Indiana
19123: Mahaska, Iowa
35031: Mckinley, New Mexico
38047: Logan, North Dakota
16023: Butte, Idaho
19113: Linn, Iowa
17053: Ford, Illinois
40079: Le Flore, Oklahoma
29161: Phelps, Missouri
17041: Douglas, Illinois
31071: Garfield, Nebraska
4027: Yuma, Arizona
16047: Gooding, Idaho
49021: Iron, Utah
6041: Marin, California
39035: Cuyahoga, Ohio
5009: Boone, Arkansas
35039: Rio Arriba, New Mexico
51183: Sussex, Virginia
27149: Stevens, Minnesota
31171: Thomas, Nebraska
24005: Baltimore, Maryland
38085: Sioux, North Dakota
42003: Allegheny, Pennsylvania
1063: Greene, Alabama
1007: Bibb, Alabama
42011: Berks, Pennsylvania
19107: Keokuk, Iowa
42077: Lehigh, Pennsylvania
37125: Moore, North Carolina
16073: Owyhee, Idaho
48289: Leon, Texas
51740: Portsmouth City, Virginia
13197: Marion, Georgia
8097: Pitkin, Colorado
47097: Lauderdale, Tennessee
26061: Houghton, Michigan
35035: Otero, New Mexico
1111: Randolph, Alabama
48161: Freestone, Texas
20113: McPherson, Kansas
39127: Perry, Ohio
47025: Claiborne, Tennessee
48043: Brewster, Texas
17057: Fulton, Illinois
38099: Walsh, North Dakota
48493: Wilson, Texas
20035: Cowley, Kansas
28087: Lowndes, Mississippi
37001: Alamance, North Carolina
27131: Rice, Minnesota
22009: Avoyelles, Louisiana
13177: Lee, Georgia
20023: Cheyenne, Kansas
31007: Banner, Nebraska
45075: Orangeburg, South Carolina
21235: Whitley, Kentucky
19011: Benton, Iowa
17017: Cass, Illinois
46051: Grant, South Dakota
53019: Ferry, Washington
2240: Southeast Fairbanks, Alaska
17073: Henry, Illinois
16087: Washington, Idaho
49005: Cache, Utah
18005: Bartholomew, Indiana
19191: Winneshiek, Iowa
54005: Boone, West Virginia
39081: Jefferson, Ohio
18033: De Kalb, Indiana
13029: Bryan, Georgia
31023: Butler, Nebraska
27167: Wilkin, Minnesota
28095: Monroe, Mississippi
27057: Hubbard, Minnesota
29129: Mercer, Missouri
46053: Gregory, South Dakota
26153: Schoolcraft, Michigan
47163: Sullivan, Tennessee
48087: Collingsworth, Texas
46063: Harding, South Dakota
38035: Grand Forks, North Dakota
5071: Johnson, Arkansas
31087: Hitchcock, Nebraska
51137: Orange, Virginia
45057: Lancaster, South Carolina
48383: Reagan, Texas
17161: Rock Island, Illinois
21237: Wolfe, Kentucky
56043: Washakie, Wyoming
21089: Greenup, Kentucky
4025: Yavapai, Arizona
31025: Cass, Nebraska
54027: Hampshire, West Virginia
26093: Livingston, Michigan
25007: Dukes, Massachusetts
47073: Hawkins, Tennessee
12017: Citrus, Florida
17085: Jo Daviess, Illinois
34035: Somerset, New Jersey
48191: Hall, Texas
26073: Isabella, Michigan
6069: San Benito, California
12003: Baker, Florida
27027: Clay, Minnesota
37071: Gaston, North Carolina
8123: Weld, Colorado
51177: Spotsylvania, Virginia
45047: Greenwood, South Carolina
40059: Harper, Oklahoma
13045: Carroll, Georgia
20031: Coffey, Kansas
27161: Waseca, Minnesota
13309: Wheeler, Georgia
30047: Lake, Montana
46017: Buffalo, South Dakota
5105: Perry, Arkansas
12027: De Soto, Florida
8071: Las Animas, Colorado
30005: Blaine, Montana
45017: Calhoun, South Carolina
29127: Marion, Missouri
5133: Sevier, Arkansas
55015: Calumet, Wisconsin
39099: Mahoning, Ohio
39005: Ashland, Ohio
17091: Kankakee, Illinois
40085: Love, Oklahoma
29199: Scotland, Missouri
42129: Westmoreland, Pennsylvania
18123: Perry, Indiana
48433: Stonewall, Texas
28149: Warren, Mississippi
18035: Delaware, Indiana
22003: Allen, Louisiana
39087: Lawrence, Ohio
21219: Todd, Kentucky
16053: Jerome, Idaho
51077: Grayson, Virginia
19185: Wayne, Iowa
17099: La Salle, Illinois
8039: Elbert, Colorado
30095: Stillwater, Montana
30031: Gallatin, Montana
48261: Kenedy, Texas
47119: Maury, Tennessee
26115: Monroe, Michigan
21121: Knox, Kentucky
48003: Andrews, Texas
26011: Arenac, Michigan
29047: Clay, Missouri
36019: Clinton, New York
27053: Hennepin, Minnesota
21123: Larue, Kentucky
51580: Covington City, Virginia
55065: Lafayette, Wisconsin
13249: Schley, Georgia
20133: Neosho, Kansas
19101: Jefferson, Iowa
40001: Adair, Oklahoma
29217: Vernon, Missouri
36083: Rensselaer, New York
51600: Fairfax City, Virginia
27159: Wadena, Minnesota
6013: Contra Costa, California
17027: Clinton, Illinois
28157: Wilkinson, Mississippi
37019: Brunswick, North Carolina
2232: Skagway Hoonah Angoon, Alaska
12051: Hendry, Florida
48353: Nolan, Texas
1051: Elmore, Alabama
12045: Gulf, Florida
49039: Sanpete, Utah
