Fred Astaire
Richard Gere
Gina Gershon
Mel Gibson
Whoopi Goldberg
Jeff Goldblum
Linda Hamilton
Tom Hanks
Teri Hatcher
Ethan Hawke
Salma Hayek
Anne Heche
Dustin Hoffman
Anthony Hopkins
Ron Howard
Helen Hunt
Elizabeth Hurley
Samuel L. Jackson
Tommy Lee Jones
Milla Jovovich
Ashley Judd
Harvey Keitel
Nicole Kidman
Val Kilmer
Stephen King
Nastassja Kinski
Kevin Kline
Diane Lane
Jude Law
David Lean
Heather Locklear
Jennifer Lopez
Traci Lords
George Lucas
Dolph Lundgren
David Lynch
Madonna
Steve Martin
Jenny McCarthy
Matthew McConaughey
Ewan McGregor
Alyssa Milano
Demi Moore
Julianne Moore
Bill Murray
Mike Myers
Jack Nicholson
Gary Oldman
Al Pacino
Bill Paxton
Michelle Pfeiffer
Ryan Phillippe
River Phoenix
Natalie Portman
Parker Posey
Keanu Reeves
Christina Ricci
Molly Ringwald
Tim Robbins
Julia Roberts
Mimi Rogers
Meg Ryan
Winona Ryder
Mia Sara
Susan Sarandon
Arnold Schwarzenegger
Martin Scorsese
Kristin Scott Thomas
Steven Seagal
Joan Severance
Charlie Sheen
Brooke Shields
Elisabeth Shue
Alicia Silverstone
Christian Slater
Will Smith
Mira Sorvino
Kevin Spacey
Steven Spielberg
Sylvester Stallone
Oliver Stone
Sharon Stone
Quentin Tarantino
Charlize Theron
Uma Thurman
Jennifer Tilly
John Travolta
Shannon Tweed
Liv Tyler
Skeet Ulrich
Jean-Claude Van Damme
Mark Wahlberg
Denzel Washington
Sigourney Weaver
Robin Williams
Bruce Willis
John Woo
Edward D. Wood Jr.
James Woods
Renée Zellweger
Timothy Dowling
Robert Ellis
Robert Ellis
Isabelle Adjani
Ben Affleck
Jenny Agutter
Alan Alda
Stephanie Zimbalist
Ginger Lynn
Joan Allen
Karen Allen
Nancy Allen
Kirstie Alley
Pedro Almodóvar
Robert Altman
Ursula Andress
Julie Andrews
Ann-Margret
Jean-Jacques Annaud
Gabrielle Anwar
Anne Archer
Fanny Ardant
Alan Arkin
David Arquette
Rosanna Arquette
Sean Astin
Richard Attenborough
Pernilla August
Hank Azaria
Catherine Bach
Scott Baio
Scott Bairstow
Brenda Bakke
Adam Baldwin
Alec Baldwin
Stephen Baldwin
William Baldwin
Christian Bale
Ellen Barkin
John Barry
Angela Bassett
Michelle Bauer
Sean Bean
Amanda Bearse
Kate Beckinsale
Robert Beltran
Tom Berenger
Candice Bergen
Michael Biehn
Juliette Binoche
Thora Birch
Jacqueline Bisset
Honor Blackman
Linda Blair
Mel Blanc
Brian Blessed
Helena Bonham Carter
Ernest Borgnine
David Bowie
Bruce Boxleitner
Annie Rosar
Amy Brenneman
Jeff Bridges
Charles Bronson
Louise Brooks
Mel Brooks
Clancy Brown
Tim Burton
Yancy Butler
Luis Buñuel
Gabriel Byrne
Emmanuelle Béart
Michael Caine
Barbara Carrera
David Caruso
Kim Cattrall
Lacey Chabert
Richard Chamberlain
Jackie Chan
Stockard Channing
Chevy Chase
Don Cheadle
Cher
Yun-Fat Chow
Glenn Close
James Coburn
Rachael Leigh Cook
Francis Ford Coppola
Roger Corman
Cindy Crawford
Michael Crichton
James Cromwell
David Cronenberg
Denise Crosby
Billy Crystal
Macaulay Culkin
Tim Curry
Tony Curtis
Joan Cusack
Beverly D'Angelo
Donna D'Errico
Vincent D'Onofrio
Willem Dafoe
Matt Damon
Anthony Daniels
Sybil Danning
Lolita Davidovich
Daniel Day-Lewis
Olivier De Funès
Rebecca De Mornay
Brian De Palma
Danny DeVito
Loren Dean
Sandra Dee
Julie Delpy
Catherine Deneuve
Gérard Depardieu
Laura Dern
Matt Dillon
Walt Disney
Ami Dolenz
Amanda Donohoe
Michael Dorn
Brad Dourif
Robert Downey Jr.
Fran Drescher
Richard Dreyfuss
Minnie Driver
Kirsten Dunst
Robert Duvall
Anthony Edwards
Atom Egoyan
Jennifer Ehle
Danny Elfman
Sam Elliott
Roland Emmerich
Robert Englund
R. Lee Ermey
Emilio Estevez
Joe Eszterhas
Rupert Everett
Morgan Fairchild
Peter Falk
Chris Farley
Terry Farrell
Farrah Fawcett
Corey Feldman
Sally Field
David Fincher
Linda Fiorentino
Laurence Fishburne
Carrie Fisher
Bridget Fonda
Jane Fonda
Michelle Forbes
John Ford
Vivica A. Fox
Jonathan Frakes
Brendan Fraser
Stephen Fry
Edward Furlong
Andy Garcia
Janeane Garofalo
Teri Garr
Jami Gertz
Terry Gilliam
Crispin Glover
Danny Glover
Jean-Luc Godard
Valeria Golino
Cuba Gooding Jr.
John Goodman
Serena Grandi
Hugh Grant
Peter Greenaway
Jennifer Grey
Pam Grier
D.W. Griffith
Melanie Griffith
Steve Guttenberg
Taylor Hackford
Gene Hackman
Corey Haim
Mark Hamill
Daryl Hannah
Curtis Hanson
Woody Harrelson
Ed Harris
Neil Patrick Harris
Nina Hartley
Noah Hathaway
Rutger Hauer
Goldie Hawn
Glenne Headly
Dan Hedaya
Mariel Hemingway
Marilu Henner
Lance Henriksen
Natasha Henstridge
Philip Seymour Hoffman
Gaby Hoffmann
Lauren Holly
Ian Holm
Dennis Hopper
John Hughes
Holly Hunter
John Hurt
William Hurt
Timothy Hutton
Jeremy Irons
Michael Ironside
Kate Jackson
Famke Janssen
Jim Jarmusch
Ron Jeremy
Jean-Pierre Jeunet
Don Johnson
Lynn-Holly Johnson
James Earl Jones
Jeffrey Jones
Raul Julia
Boris Karloff
Diane Keaton
Michael Keaton
Patsy Kensit
Sally Kirkland
Mia Kirshner
Tawny Kitaen
Walter Koenig
Elias Koteas
Alice Krige
Sylvia Kristel
Christopher Lambert
John Landis
Fritz Lang
Heather Langenkamp
Ang Lee
Brandon Lee
Christopher Lee
Spike Lee
John Leguizamo
Jennifer Jason Leigh
Jack Lemmon
Robert Sean Leonard
Téa Leoni
Juliette Lewis
Jennifer Lien
Matthew Lillard
Bai Ling
Richard Linklater
Ray Liotta
Christopher Lloyd
Emily Lloyd
Amy Locane
Nia Long
Julia Louis-Dreyfus
Rob Lowe
Carey Lowell
Bela Lugosi
Andie MacDowell
Shirley MacLaine
Elle Macpherson
William H. Macy
Michael Madsen
Virginia Madsen
Lee Majors
Terrence Malick
John Malkovich
David Mamet
Michael Mann
Sophie Marceau
Vanessa Marcil
Julianna Margulies
Mary Stuart Masterson
Heather Matarazzo
Samantha Mathis
Walter Matthau
Mathilda May
Debi Mazar
Andrew McCarthy
Frances McDormand
Malcolm McDowell
Gates McFadden
Kelly McGillis
Rose McGowan
Robert Duncan McNeill
Steve McQueen
Colm Meaney
Dina Meyer
Russ Meyer
Bette Midler
Penelope Ann Miller
Sal Mineo
Carmen Miranda
Helen Mirren
Matthew Modine
Alfred Molina
Elizabeth Montgomery
Roger Moore
Kate Mulgrew
Dermot Mulroney
Eddie Murphy
Liam Neeson
Sam Neill
Judd Nelson
Olivia Newton-John
Brigitte Nielsen
Leslie Nielsen
Leonard Nimoy
Nick Nolte
Peter North
Jeremy Northam
Chris O'Donnell
Peter O'Toole
Lena Olin
Julia Ormond
George Orwell
Frank Oz
Gwyneth Paltrow
Alan Parker
Mary-Louise Parker
Sarah Jessica Parker
Dolly Parton
Jason Patric
Alexandra Paul
Sean Penn
George Peppard
Anthony Perkins
Ron Perlman
Luke Perry
Joseph L. Mankiewicz
Joe Pesci
Wolfgang Petersen
Amanda Peterson
Robert Picardo
Jada Pinkett Smith
Donald Pleasence
Martha Plimpton
Eve Plumb
Edgar Allan Poe
Roman Polanski
Pete Postlethwaite
Kelly Preston
Jason Priestley
Victoria Principal
Jonathan Pryce
Bill Pullman
Dennis Quaid
Kathleen Quinlan
Sam Raimi
Harold Ramis
Robert Redford
Vanessa Redgrave
John C. Reilly
Brad Renfro
Jean Reno
Paul Reubens
Burt Reynolds
Ving Rhames
Giovanni Ribisi
Ariana Richards
Denise Richards
Joely Richardson
Alan Rickman
John Ritter
Eric Roberts
Tanya Roberts
Isabella Rossellini
Tim Roth
Mickey Rourke
Kurt Russell
Theresa Russell
Rene Russo
Laura San Giacomo
Fred Savage
John Sayles
Greta Scacchi
Johnathon Schaech
Claudia Schiffer
Liev Schreiber
Ridley Scott
Jerry Seinfeld
Tom Selleck
Peter Sellers
Yahoo Serious
William Shakespeare
Tupac Shakur
William Shatner
Ally Sheedy
Martin Sheen
Gary Sinise
Marina Sirtis
Tom Skerritt
Helen Slater
Anna Nicole Smith
Jaclyn Smith
Alan Smithee
Wesley Snipes
Paul Sorvino
Talisa Soto
Sissy Spacek
James Spader
Brent Spiner
Terence Stamp
Eric Stoltz
Madeleine Stowe
David Strathairn
Meryl Streep
Barbra Streisand
Tami Stronach
Donald Sutherland
Kiefer Sutherland
Dominique Swain
Patrick Swayze
D.B. Sweeney
Lili Taylor
David Thewlis
Emma Thompson
Fred Dalton Thompson
Lea Thompson
Billy Bob Thornton
Meg Tilly
Marisa Tomei
Tamlyn Tomita
Jeanne Tripplehorn
Chris Tucker
Robin Tunney
Kathleen Turner
Deborah Kara Unger
Casper Van Dien
Vince Vaughn
Paul Verhoeven
Gore Vidal
Nana Visitor
Jon Voight
Christopher Walken
J.T. Walsh
Sela Ward
Julie Warner
Lesley Ann Warren
John Waters
Teri Weigel
Peter Weller
Wim Wenders
Joanne Whalley
Wil Wheaton
Billy Wilder
Gene Wilder
Michael Wincott
Debra Winger
Kate Winslet
Reese Witherspoon
BD Wong
Elijah Wood
Robin Wright
Michelle Yeoh
Sean Young
Billy Zane
Robert Zemeckis
David Raksin
Rick Baker
Steve Cohen
Joel Oliansky
Willie Aames
Caroline Aaron
Paula Abdul
Kareem Abdul-Jabbar
Ian Abercrombie
F. Murray Abraham
Jim Abrahams
Victoria Abril
Joss Ackland
Deborah Adair
Brooke Adams
Joey Lauren Adams
Maud Adams
Percy Adlon
Mario Adorf
Casey Affleck
John Agar
Brian Aherne
Danny Aiello
Anouk Aimée
Eddie Albert
Brian Aldiss
Robert Aldrich
Jane Alexander
Muhammad Ali
Debbie Allen
Irwin Allen
Tim Allen
June Allyson
Néstor Almendros
Maria Conchita Alonso
Carol Alt
Trini Alvarado
Don Ameche
Leon Ames
Mädchen Amick
Jon Amiel
Suzy Amis
Judith Anderson
Juliet Anderson
Kevin Anderson
Lindsay Anderson
Loni Anderson
Melissa Sue Anderson
Melody Anderson
Paul Thomas Anderson
Richard Dean Anderson
Bibi Andersson
Anthony Andrews
Dana Andrews
André the Giant
Pier Angeli
Theodoros Angelopoulos
Jean-Hugues Anglade
Francesca Annis
Susan Anspach
David Anspaugh
Lysette Anthony
Susan Anton
Laura Antonelli
Michelangelo Antonioni
Christina Applegate
Michael Apted
Gregg Araki
Alfonso Arau
Roscoe 'Fatty' Arbuckle
Denys Arcand
Eve Arden
Asia Argento
Dario Argento
Pedro Armendáriz
Alison Armitage
George Armitage
Bess Armstrong
Gillian Armstrong
Desi Arnaz
James Arness
Jack Arnold
Tom Arnold
Alexis Arquette
Lewis Arquette
Jean Arthur
Dana Ashbrook
Hal Ashby
Linden Ashby
Edward Asner
Armand Assante
Olivier Assayas
Mary Astor
Christopher Atkins
Stéphane Audran
Claudine Auger
Bille August
Jane Austen
Paul Auster
Daniel Auteuil
Gene Autry
Frankie Avalon
Roger Avary
Tex Avery
John G. Avildsen
Mili Avital
Jon Avnet
Lew Ayres
Shabana Azmi
Barbara Bach
Burt Bacharach
Amitabh Bachchan
Jim Backus
Angelo Badalamenti
John Badham
Mary Badham
Jane Badler
Maxine Bahns
Barbara Bain
Stuart Baird
Oksana Baiul
Diane Baker
Joe Don Baker
Kathy Baker
Ralph Bakshi
Scott Bakula
Bob Balaban
Daniel Baldwin
Ina Balin
Lucille Ball
Michael Ballhaus
Martin Balsam
Anne Bancroft
Tamasaburô Bandô
Tallulah Bankhead
Ian Bannen
Theda Bara
Olivia Barash
Javier Bardem
Clive Barker
Lex Barker
Jean-Marc Barr
Bruno Barreto
Majel Barrett
Raymond J. Barry
Ethel Barrymore
John Drew Barrymore
John Barrymore
Lionel Barrymore
Paul Bartel
Freddie Bartholomew
Robin Bartlett
Billy Barty
Mikhail Baryshnikov
Richard Basehart
Saul Bass
Jason Bateman
Justine Bateman
Alan Bates
Kathy Bates
Randall Batinkoff
Patrick Bauchau
Belinda Bauer
Steven Bauer
L. Frank Baum
Noah Baumbach
Lamberto Bava
Mario Bava
Anne Baxter
Meredith Baxter
Michael Bay
Nathalie Baye
Stephanie Beacham
Jennifer Beals
Ned Beatty
Warren Beatty
Harold Becker
Meret Becker
Bonnie Bedelia
Noah Beery Jr.
Wallace Beery
Jason Beghe
Ed Begley Jr.
Jean-Jacques Beineix
Barbara Bel Geddes
Harry Belafonte
Ralph Bellamy
Kathleen Beller
Monica Bellucci
Pamela Bellwood
Jean-Paul Belmondo
Jim Belushi
Brian Benben
William Bendix
Roberto Benigni
Annette Bening
Richard Benjamin
David Bennent
Constance Bennett
Joan Bennett
Nigel Bennett
Jack Benny
Robby Benson
Robert Benton
Bruce Beresford
Peter Berg
Polly Bergen
Helmut Berger
Senta Berger
Patrick Bergin
Andrew Bergman
Sandahl Bergman
Busby Berkeley
Elizabeth Berkley
Steven Berkoff
Milton Berle
Irving Berlin
Sandra Bernhard
Corbin Bernsen
Elmer Bernstein
Elizabeth Berridge
Halle Berry
Valerie Bertinelli
Bernardo Bertolucci
Bibi Besch
Martine Beswick
Richard Beymer
Daniela Bianchi
Adrian Biddle
Bigas Luna
Kathryn Bigelow
Theodore Bikel
Traci Bingham
Antonia Bird
Jane Birkin
Whit Bissell
Karen Black
Shane Black
Cate Blanchett
Brenda Blethyn
Joan Blondell
Hart Bochner
Peter Bogdanovich
Jon Bon Jovi
Ward Bond
Lisa Bonet
Jan de Bont
John Boorman
Powers Boothe
Barry Bostwick
Timothy Bottoms
Carole Bouquet
Stephen Boyd
Charles Boyer
Danny Boyle
Lorraine Bracco
Eric Braeden
Sônia Braga
Lillo Brancato
Jonathan Brandis
Nicoletta Braschi
Tinto Brass
Benjamin Bratt
Walter Brennan
Robert Bresson
Martin Brest
Beau Bridges
Lloyd Bridges
Wilford Brimley
Jim Broadbent
James Brolin
Josh Brolin
Albert Brooks
Avery Brooks
James L. Brooks
Bryan Brown
Jim Brown
Jerry Bruckheimer
Yul Brynner
Betty Buckley
Geneviève Bujold
Billie Burke
Carol Burnett
Raymond Burr
Ellen Burstyn
LeVar Burton
Gary Busey
Jake Busey
Red Buttons
Tom Byron
James Caan
Dean Cain
Simon Callow
Billy Campbell
Jane Campion
John Candy
Dyan Cannon
Frank Capra
Kate Capshaw
Capucine
Irene Cara
Claudia Cardinale
Harry Carey Jr.
Mariah Carey
Robert Carlyle
David Carradine
John Carradine
Keith Carradine
Robert Carradine
Katrin Cartlidge
Veronica Cartwright
Dana Carvey
John Cassavetes
Nick Cassavetes
Seymour Cassel
Joanna Cassidy
Shaun Cassidy
Maxwell Caulfield
Jim Caviezel
John Cazale
Claude Chabrol
Marilyn Chambers
Lon Chaney Jr.
Rosalind Chao
Ben Chaplin
Geraldine Chaplin
Graham Chapman
Josh Charles
David Charvet
Joan Chen
Maggie Cheung
Lois Chiles
Anna Chlumsky
Rae Dawn Chong
Tommy Chong
Julie Christie
Michael Cimino
Andrew Dice Clay
Jill Clayburgh
Montgomery Clift
Bill Clinton
Kurt Cobain
Ethan Coen
Joel Coen
Claudette Colbert
Dabney Coleman
Toni Collette
Joan Collins
Robbie Coltrane
Chris Columbus
Holly Marie Combs
Jeffrey Combs
Jeff Conaway
Jason Connery
Harry Connick Jr.
Robert Conrad
Jackie Coogan
Sofia Coppola
Bud Cort
Bill Cosby
Annie Costner
Joseph Cotten
Courteney Cox
Ronny Cox
Peter Coyote
Joan Crawford
Richard Crenna
Bing Crosby
Scatman Crothers
Lindsay Crouse
Cameron Crowe
Billy Crudup
Jon Cryer
Ice Cube
Kieran Culkin
Alan Cumming
Lee Curreri
Peter Cushing
Henry Czerny
Joe D'Amato
Patti D'Arbanville
Mark Dacascos
John Dahl
Roald Dahl
Béatrice Dalle
Timothy Dalton
Charles Dance
Rodney Dangerfield
Jeff Daniels
Blythe Danner
Ted Danson
Joe Dante
Tony Danza
Frank Darabont
Linda Darnell
Racquel Darrian
Stacey Dash
Robert Davi
Jaye Davidson
Embeth Davidtz
Jeremy Davies
Andrew Davis
Brad Davis
Judy Davis
Ossie Davis
Warwick Davis
Bruce Davison
Pam Dawber
Yvonne De Carlo
Vittorio De Sica
Brandon De Wilde
Ellen DeGeneres
Dom DeLuise
Cecil B. DeMille
Benicio Del Toro
Kim Delaney
Dana Delany
Alain Delon
Jonathan Demme
Ted Demme
Patrick Dempsey
Judi Dench
Brian Dennehy
Bob Denver
John Derek
Bruce Dern
William Devane
Susan Dey
Tom DiCillo
Philip K. Dick
Angie Dickinson
Uschi Digard
Kevin Dillon
Céline Dion
Divine
Donna Dixon
Shannen Doherty
Troy Donahue
Richard Donner
James Doohan
Stephen Dorff
Illeana Douglas
Lesley-Anne Down
Michael Dudikoff
Patrick Duffy
Olympia Dukakis
Patty Duke
Keir Dullea
Faye Dunaway
Adrian Dunbar
Dominique Dunne
Griffin Dunne
Roy Dupuis
Charles Durning
Charles S. Dutton
James Duval
Shelley Duvall
Bob Dylan
George Dzundza
Roger Ebert
Buddy Ebsen
Christopher Eccleston
Aaron Eckhart
Barbara Eden
Blake Edwards
Nicole Eggert
Chris Eigeman
Sergei M. Eisenstein
Anita Ekberg
Britt Ekland
Jack Elam
Carmen Electra
Bodhi Elfman
Jenna Elfman
Hector Elizondo
Denholm Elliott
Noah Emmerich
Nora Ephron
Gabriel Yared
David Prowse
Adam Sandler
John Mark Robinson
Shelley Fabares
Jeff Fahey
Douglas Fairbanks Jr.
Douglas Fairbanks
Anna Falchi
Debrah Farentino
Dennis Farina
Gary Farmer
Mia Farrow
Rainer Werner Fassbinder
William Faulkner
Marty Feldman
Norman Fell
Abel Ferrara
José Ferrer
Miguel Ferrer
William Fichtner
Chelsea Field
W.C. Fields
Joseph Fiennes
Harvey Fierstein
Mike Figgis
Albert Finney
Tara Fitzgerald
Fionnula Flanagan
Sean Patrick Flanery
Gary Fleder
Ian Fleming
Louise Fletcher
Calista Flockhart
Lara Flynn Boyle
Errol Flynn
Nina Foch
James Foley
Megan Follows
Peter Fonda
Glenn Ford
Harrison Ford
Claire Forlani
Milos Forman
Robert Forster
John Forsythe
William Forsythe
Meg Foster
Samantha Fox
Jesús Franco
John Frankenheimer
Dennis Franz
Stephen Frears
Matt Frewer
William Friedkin
Sadie Frost
Mira Furlan
Dan Futterman
Eva Gabor
Zsa Zsa Gabor
Monique Gabrielle
Charlotte Gainsbourg
Peter Gallagher
Vincent Gallo
Mason Gamble
James Gandolfini
Victor Garber
Greta Garbo
Ava Gardner
James Garner
Jennie Garth
John Gavin
Rebecca Gayheart
Ben Gazzara
Jason Gedrick
Sarah Michelle Gellar
Susan George
Gil Gerard
Balthazar Getty
Estelle Getty
Cynthia Gibb
Brian Gibson
Melissa Gilbert
Annabeth Gish
Lillian Gish
Paul Michael Glaser
Philip Glass
Jackie Gleason
Scott Glenn
John Glover
William Goldman
Jenette Goldstein
Bobcat Goldthwait
Tony Goldwyn
Louis Gossett Jr.
Michael Gough
Elliott Gould
Elizabeth Gracen
Heather Graham
Kelsey Grammer
Stewart Granger
Richard E. Grant
Rupert Graves
Erin Gray
Seth Green
Graham Greene
Graham Greene
Lorne Greene
Joel Grey
Richard Grieco
Thomas Ian Griffith
John Grisham
Charles Grodin
Christopher Guest
Carla Gugino
Fred Gwynne
Lukas Haas
Larry Hagman
Stacy Haiduk
Alan Hale Jr.
Anthony Michael Hall
Kevin Peter Hall
Philip Baker Hall
Geri Horner
George Hamilton
John Hannah
Marcia Gay Harden
Oliver Hardy
Renny Harlin
Jean Harlow
Mark Harmon
Valerie Harper
Richard Harris
Rex Harrison
Debbie Harry
Ian Hart
Hal Hartley
Josh Hartnett
David Hasselhoff
Howard Hawks
Nigel Hawthorne
Sterling Hayden
Todd Haynes
Robert Hays
Susan Hayward
John Heard
Tippi Hedren
Van Heflin
Katherine Heigl
Brian Helgeland
Marg Helgenberger
Katherine Helmond
Florence Henderson
Jimi Hendrix
Carrie Henn
Gregg Henry
Jim Henson
Edward Herrmann
Barbara Hershey
Werner Herzog
Jennifer Love Hewitt
Benny Hill
George Roy Hill
Terence Hill
Walter Hill
Ciarán Hinds
Michael Hoffman
Hulk Hogan
Paul Hogan
Hal Holbrook
Sterling Holloway
John Holmes
Tobe Hooper
Bob Hope
Jane Horrocks
Bob Hoskins
Whitney Houston
Leslie Howard
C. Thomas Howell
Ernie Hudson
Rock Hudson
Finola Hughes
Tom Hulce
Bonnie Hunt
Linda Hunt
Jeffrey Hunter
Kim Hunter
Isabelle Huppert
Olivia Hussey
Anjelica Huston
John Huston
Jim Hutton
Lauren Hutton
Peter Hyams
David Hyde Pierce
Ice-T
Eric Idle
Natalie Imbruglia
Kathy Ireland
Amy Irving
Chris Isaak
Janet Jackson
Michael Jackson
Peter Jackson
Irène Jacob
Derek Jacobi
Richard Jaeckel
Mick Jagger
Brion James
Jenna Jameson
Marianne Jean-Baptiste
Michelle Johnson
Angelina Jolie
Terry Jones
Neil Jordan
Madeline Kahn
Janusz Kaminski
Carol Kane
Mitzi Kapture
Shekhar Kapur
Tchéky Karyo
Lawrence Kasdan
William Katt
Andy Kaufman
Julie Kavner
Danny Kaye
Elia Kazan
Catherine Keener
Brian Keith
David Keith
Sally Kellerman
DeForest Kelley
George Kennedy
Persis Khambatta
Richard Kiel
Udo Kier
Krzysztof Kieslowski
Ben Kingsley
Greg Kinnear
Klaus Kinski
Takeshi Kitano
Jack Klugman
Wayne Knight
Charlie Korsmo
Yaphet Kotto
Kris Kristofferson
Lisa Kudrow
Swoosie Kurtz
Emir Kusturica
Neil LaBute
Anthony LaPaglia
Cheryl Ladd
Christine Lahti
Ricki Lake
Hedy Lamarr
Lorenzo Lamas
Martin Landau
Michael Landon
Nathan Lane
Jessica Lange
Frank Langella
Angela Lansbury
Queen Latifah
Charles Laughton
Piper Laurie
Martin Lawrence
Matt LeBlanc
Kelly LeBrock
James Le Gros
Cloris Leachman
Denis Leary
Mimi Leder
Virginie Ledoyen
Jason Scott Lee
Janet Leigh
Kay Lenz
Elmore Leonard
Sergio Leone
Jared Leto
David Letterman
Barry Levinson
Charlotte Lewis
Jerry Lewis
Jet Li
Laura Linney
Tommy 'Tiny' Lister
John Lithgow
Cleavon Little
Robyn Lively
June Lockhart
Carole Lombard
Shelley Long
Tina Louise
Courtney Love
Linda Lovelace
Jon Lovitz
Myrna Loy
Sidney Lumet
John Lynch
Kelly Lynch
Paul Lynde
Adrian Lyne
Melanie Lynskey
Kyle MacLachlan
Peter MacNicol
Ralph Macchio
Patrick Macnee
Amy Madigan
Tobey Maguire
John Mahoney
Tina Majorino
Karl Malden
Louis Malle
Luis Mandoki
Dinah Manoff
Marilyn Manson
Joe Mantegna
Jane March
Cheech Marin
Penny Marshall
Dean Martin
Strother Martin
Lee Marvin
Mary Elizabeth Mastrantonio
Tim Matheson
Victor Mature
Joseph Mazzello
Rue McClanahan
Catherine McCormack
Dylan McDermott
Ian McDiarmid
Christopher McDonald
Mary McDonnell
Roddy McDowall
Natascha McElhone
Paul McGann
John C. McGinley
Patrick McGoohan
Elizabeth McGovern
Don McKellar
Nancy McKeon
William McNamara
Kristy McNichol
John McTiernan
Meat Loaf
Michelle Meyrink
Dale Midkiff
Toshirô Mifune
Ray Milland
Jonny Lee Miller
Hayley Mills
Rachel Miner
Kylie Minogue
Jay Mohr
Gretchen Mol
Ricardo Montalban
Dudley Moore
Mary Tyler Moore
Agnes Moorehead
Rick Moranis
Rita Moreno
Cathy Moriarty
Alanis Morissette
Pat Morita
Ennio Morricone
Errol Morris
Rob Morrow
David Morse
Viggo Mortensen
Mr. T
Audie Murphy
Ornella Muti
Jim Nabors
Kathy Najimy
Kitten Natividad
Bebe Neuwirth
Mike Newell
Mike Nichols
Connie Nielsen
Lisa Niemi
Chuck Norris
Edward Norton
Kim Novak
Danny Nucci
Catherine O'Hara
Michael O'Keefe
Tatum O'Neal
Heather O'Rourke
Maureen O'Sullivan
Annette O'Toole
Edward James Olmos
Ashley Olsen
Mary-Kate Olsen
Susan Olsen
Jerry Orbach
Miranda Otto
Kelly Packard
Joanna Pacula
Alan J. Pakula
Jack Palance
Michael Palin
Chazz Palminteri
Bruce Paltrow
Joe Pantoliano
Anna Paquin
Anne Parillaud
Michael Paré
Pier Paolo Pasolini
Mandy Patinkin
Robert Patrick
Will Patton
Adrian Paul
David Paymer
Guy Pearce
Sam Peckinpah
Nia Peeples
Amanda Peet
Chris Penn
Sydney Penny
Barry Pepper
Rosie Perez
Elizabeth Perkins
Max Perlich
Matthew Perry
Bernadette Peters
Lori Petty
Elizabeth Peña
Mekhi Phifer
Lou Diamond Phillips
Joaquin Phoenix
Summer Phoenix
Slim Pickens
Bronson Pinchot
Danny Pintauro
Maria Pitillo
Oliver Platt
Amanda Plummer
Christopher Plummer
Sidney Poitier
Sydney Pollack
Kevin Pollak
Tracy Pollan
Sarah Polley
Teri Polo
Annie Potts
CCH Pounder
William Powell
Priscilla Presley
Vincent Price
Jürgen Prochnow
Alex Proyas
Richard Pryor
Vincent Perez
